,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
41436,80,1.28,0.0,0.02,2.0,2.0,9,0.3982800487081435
30208,70,0.16,2.0,0.02,0.2,2.0,9,0.4039046448787303
11585,40,0.64,0.02,2.0,0.02,2.0,3,0.41472224188634293
15855,50,0.16,2.0,0.02,0.2,0.02,3,0.3698674273708061
31103,70,0.32,0.02,0.02,0.2,2.0,7,0.4002701074633307
23710,60,0.32,0.0,2.0,0.2,2.0,5,0.409694608143629
27394,60,1.28,0.02,0.0,0.2,0.02,9,0.4222240259043264
43737,90,0.16,0.02,0.2,0.2,0.0,5,0.23881593033862597
16003,50,0.16,2.0,0.2,2.0,0.2,5,0.36788719970508177
52147,100,0.32,0.0,0.02,0.2,0.02,11,0.2973421438960552
64204,110,1.28,2.0,0.02,0.02,0.0,3,0.4014290255950117
57625,110,0.16,0.0,0.2,0.2,0.0,5,0.20752391849801202
9672,40,0.32,0.02,0.2,0.02,0.02,13,0.2186567728475961
13151,40,1.28,0.02,0.02,0.02,0.2,13,0.4476773808384669
48192,90,0.64,2.0,0.2,0.02,0.0,11,0.3876516755632545
61644,110,0.64,0.02,0.2,0.02,0.2,7,0.3868589971777216
29153,70,0.16,0.02,0.0,0.02,0.0,13,0.22795375373104093
4059,30,0.64,0.02,0.0,0.0,2.0,15,0.37825324024014606
50590,100,0.16,0.0,2.0,0.2,2.0,5,0.3647648336388331
6060,30,1.28,0.02,0.2,0.0,0.02,13,0.276213262969911
37294,80,0.16,2.0,0.0,2.0,2.0,13,0.381540493801541
31410,70,0.32,0.2,0.0,0.02,2.0,5,0.40083912626921936
13948,40,1.28,2.0,0.0,0.2,0.0,11,0.3719676172372884
8181,40,0.16,0.2,0.02,0.0,0.0,13,0.2419847040206643
41376,80,1.28,0.0,0.02,0.02,0.2,15,0.43340514418069503
23909,60,0.32,0.02,0.02,0.02,2.0,11,0.40565881126687237
60984,110,0.64,0.0,0.0,0.2,0.0,3,0.23470311580688147
59593,110,0.32,0.02,0.0,0.0,0.02,7,0.20080823171029627
64455,110,1.28,2.0,2.0,0.02,2.0,15,0.4035119938751351
2099,30,0.32,0.0,0.2,0.2,2.0,15,0.4121826316644368
65714,120,0.16,0.2,0.2,0.2,2.0,13,0.3598879367788645
53115,100,0.32,0.2,0.2,0.0,2.0,15,0.4283238393839006
19960,50,1.28,0.0,0.2,0.0,2.0,9,0.432132240251609
30189,70,0.16,2.0,0.02,0.2,0.0,13,0.26939879010470696
26646,60,0.64,2.0,0.02,2.0,0.2,11,0.39281191923326836
46226,90,0.32,2.0,0.0,0.2,2.0,13,0.3947636942370374
30609,70,0.32,0.0,0.02,0.02,0.0,13,0.25860578058403716
66610,120,0.32,0.0,0.2,0.2,2.0,13,0.37692831810598293
28895,70,0.16,0.0,0.02,2.0,2.0,15,0.39601241348674904
18377,50,0.64,0.02,0.0,0.0,0.02,7,0.17829516883600555
52328,100,0.32,0.0,2.0,0.0,2.0,9,0.3833492572558367
67789,120,0.32,2.0,0.02,0.02,0.0,5,0.30982424839088724
51951,100,0.16,2.0,2.0,2.0,0.02,11,0.276947988777945
