,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
4529,50.0,0.32,0.2,2.0,0.0,0.02,0.41047964837125417
3394,40.0,0.32,0.02,0.0,0.0,0.2,0.42588442528238674
312,10.0,0.32,0.0,2.0,0.2,0.0,0.38251095747980784
3911,40.0,1.28,0.02,0.0,0.02,2.0,0.3428102909213615
7670,80.0,0.32,2.0,2.0,0.02,0.2,0.4022952873164194
7216,80.0,0.16,0.0,2.0,0.0,0.0,0.4164629224300185
7513,80.0,0.32,0.02,0.02,0.2,0.02,0.4253105667509395
8556,90.0,0.32,0.02,0.2,2.0,0.0,0.41079042316597525
7359,80.0,0.16,0.2,2.0,2.0,2.0,0.26929334189321535
765,10.0,0.64,2.0,2.0,2.0,0.02,0.344498167667324
7749,80.0,0.64,0.02,0.0,0.02,0.02,0.41752400625204533
1212,20.0,0.16,0.2,2.0,2.0,0.0,0.3826537234227686
7242,80.0,0.16,0.02,0.0,0.2,0.2,0.3780901345106811
8032,80.0,1.28,0.02,0.2,0.0,0.0,0.4124775309509389
6866,70.0,0.64,2.0,0.02,0.0,0.2,0.412402606357007
5406,60.0,0.32,0.0,0.02,2.0,0.2,0.3491408659451441
5945,60.0,1.28,0.0,2.0,0.2,0.02,0.4201397606124915
5757,60.0,0.64,0.02,2.0,2.0,0.02,0.4028108680143446
81,10.0,0.16,0.02,0.02,0.0,0.02,0.3930621265871172
1348,20.0,0.32,0.02,0.0,0.02,0.0,0.41880192089794366
4423,50.0,0.32,0.02,0.0,0.02,2.0,0.36534010672576767
2239,30.0,0.16,0.2,2.0,2.0,2.0,0.28755349808977865
7720,80.0,0.64,0.0,0.2,0.2,0.0,0.4071704439097731
8371,90.0,0.16,0.2,2.0,0.0,2.0,0.3916193867514154
959,10.0,1.28,0.2,2.0,2.0,2.0,0.3251701843731344
6494,70.0,0.32,0.02,0.02,2.0,0.2,0.3533812802759041
208,10.0,0.16,2.0,0.02,0.0,0.0,0.3914381784996246
6793,70.0,0.64,0.2,0.0,0.2,0.02,0.42089903199594986
5062,50.0,1.28,2.0,0.0,0.02,0.2,0.4096561236634458
3842,40.0,1.28,0.0,0.0,0.0,0.2,0.4166895376775439
1333,20.0,0.32,0.0,2.0,0.02,0.02,0.40942718026796726
4641,50.0,0.64,0.0,0.2,0.0,0.02,0.42473912354508175
